,value,
895,255603153,2.55603153
896,255757949.3,2.557579493
897,257424457.4,2.574244574
898,257839027,2.57839027
899,257090302.1,2.570903021
900,256920153.6,2.569201536
901,255557933,2.55557933
902,255011735.1,2.550117351
903,254051723.8,2.540517238
904,253966435.7,2.539664357
905,253726250.7,2.537262507
906,254638371.9,2.546383719
907,256258009.4,2.562580094
908,256875308.6,2.568753086
909,256856580.3,2.568565803
910,257088692.3,2.570886923
911,255752566.3,2.557525663
912,256447639.2,2.564476392
913,256769985.8,2.567699858
914,256336833.9,2.563368339
915,255030005.1,2.550300051
916,256294976.2,2.562949762
917,256892756.2,2.568927562
918,254081182.9,2.540811829
919,254806755.2,2.548067552
920,254946601.6,2.549466016
921,257556889.5,2.575568895
922,258895321.1,2.588953211
923,259560957.2,2.595609572
924,260215425.9,2.602154259
925,259310962.2,2.593109622
926,259300866.8,2.593008668
927,261253134,2.61253134
928,261082429,2.61082429
929,262950973.8,2.629509738
930,262984335,2.62984335
931,264310808.4,2.643108084
932,262305944.3,2.623059443
933,259452327.4,2.594523274
934,259270085,2.59270085
935,258411410.5,2.584114105
936,256816527.9,2.568165279
937,256995242.5,2.569952425
938,256167738.9,2.561677389
939,254397101,2.54397101
940,257582211.6,2.575822116
941,260445176.2,2.604451762
942,259157154.1,2.591571541
943,257601323.6,2.576013236
944,256304882.5,2.563048825
945,257421659.6,2.574216596
946,257968477.3,2.579684773
947,253707028,2.53707028
948,251607410.4,2.516074104
949,251525783.2,2.515257832
950,252979769,2.52979769
951,252553885.7,2.525538857
952,251365401.2,2.513654012
953,249495226,2.49495226
954,248466510.6,2.484665106
955,246392053.9,2.463920539
956,247107991.9,2.471079919
957,247928907.8,2.479289078
958,244697674,2.44697674
959,242190903.4,2.421909034
960,244091168,2.44091168
961,246750872.8,2.467508728
962,246525588.5,2.465255885
963,247248855.3,2.472488553
964,245933652,2.45933652
965,243693408.2,2.436934082
966,243704118.4,2.437041184
967,242744815.1,2.427448151
968,241628492.1,2.416284921
969,240174104.1,2.401741041
970,243577680.4,2.435776804
971,243264550.9,2.432645509
972,245200148.9,2.452001489
973,242750622.6,2.427506226
974,243315569.5,2.433155695
975,241394263.8,2.413942638
976,243545266.3,2.435452663
977,244491105.5,2.444911055
978,251815340.6,2.518153406
979,249388424.7,2.493884247
980,252102265.4,2.521022654
981,249880378.3,2.498803783
982,245910043.2,2.459100432
983,244380206.6,2.443802066
984,243792330.3,2.437923303
985,247840203.7,2.478402037
986,248118580.9,2.481185809
987,246540589.9,2.465405899
988,257284719.4,2.572847194
989,256197392.5,2.561973925
990,254421256.7,2.544212567
991,253488087.5,2.534880875
992,257751307.3,2.577513073
993,255492757.1,2.554927571
994,256832783.7,2.568327837
995,258515232.3,2.585152323
