,date,position
128,2016-09-26,"['SM707', 'SM706', 'SM704', 'SM703', 'SM701', 'SM702', 'SM612', 'SF701', 'CF707', 'SM705']"
129,2016-09-27,"['SM707', 'SM706', 'SM704', 'SM703', 'SM701', 'SM702', 'CF707', 'SM612', 'CF705', 'CF703']"
130,2016-09-28,"['SM707', 'SM706', 'SM704', 'SM703', 'CF707', 'SM701', 'CF705', 'SM702', 'CF611', 'CF703']"
131,2016-09-29,"['SM707', 'SM706', 'CF707', 'CF705', 'CF611', 'CF703', 'SM704', 'SM703', 'SM701', 'CF701']"
132,2016-09-30,"['CF611', 'SM707', 'SM706', 'SM704', 'SM703', 'SM701', 'SM702', 'SM612', 'SM705', 'SM611']"
133,2016-10-10,"['SM707', 'SM706', 'SM704', 'SM703', 'SM701', 'SM702', 'SM705', 'SM611', 'SM610', 'SF705']"
134,2016-10-11,"['CF611', 'CF707', 'CF703', 'CF705', 'CF701', 'SM707', 'SM706', 'SM612', 'SM705', 'SF705']"
135,2016-10-12,"['CF611', 'CF703', 'CF701', 'CF705', 'SM708', 'SM707', 'SM706', 'SM704', 'SM703', 'SM701']"
136,2016-10-13,"['CF611', 'SM708', 'CF703', 'CF701', 'SM706', 'SM707', 'SM703', 'SM704', 'SM701', 'SM702']"
137,2016-10-14,"['SM708', 'SM706', 'SM707', 'SM703', 'SM704', 'SM701', 'SM702', 'SM612', 'SM611', 'SM610']"
138,2016-10-17,"['SM708', 'SM707', 'SM706', 'SM703', 'SM704', 'SM701', 'SM702', 'SM612', 'SM611', 'SM610']"
139,2016-10-18,"['SM708', 'SM707', 'SM706', 'SM612', 'SM704', 'SM703', 'SM701', 'SM702', 'SM611', 'SM610']"
140,2016-10-19,"['SM708', 'SM706', 'SM707', 'SM612', 'SM704', 'SM703', 'SM701', 'SM702', 'SM611', 'SM610']"
141,2016-10-20,"['SM612', 'SM706', 'SM707', 'SM708', 'SM703', 'SM704', 'SM701', 'SM702', 'SM611', 'SM610']"
142,2016-10-21,"['SM612', 'SM707', 'SM706', 'SM704', 'SM703', 'SM701', 'SM702', 'SM611', 'SM610', 'SM705']"
143,2016-10-24,"['SM612', 'SF703', 'OI705', 'SF704', 'OI611', 'OI703', 'OI701', 'MA612', 'MA702', 'MA703']"
144,2016-10-25,"['SM612', 'SF703', 'OI707', 'OI611', 'SF704', 'OI705', 'OI701', 'SF702', 'OI703', 'MA703']"
145,2016-10-26,"['SM612', 'SF708', 'SF703', 'SF705', 'SF706', 'SF707', 'OI707', 'OI611', 'OI705', 'SF704']"
146,2016-10-27,"['SM612', 'SM705', 'OI611', 'SF705', 'OI707', 'SF706', 'OI705', 'SF707', 'OI701', 'OI703']"
147,2016-10-28,"['SM612', 'OI611', 'OI705', 'OI701', 'SF706', 'SF705', 'SF707', 'MA612', 'MA701', 'MA702']"
148,2016-10-31,"['SM612', 'SF707', 'MA612', 'MA701', 'TA707', 'MA702', 'MA703', 'MA705', 'PM701', 'MA704']"
149,2016-11-01,"['OI703', 'SF704', 'MA612', 'MA701', 'TA707', 'PM701', 'MA703', 'MA702', 'MA705', 'MA704']"
150,2016-11-02,"['OI611', 'OI703', 'SF704', 'MA612', 'MA701', 'PM701', 'MA703', 'MA704', 'MA705', 'TA708']"
151,2016-11-03,"['TA707', 'MA701', 'MA703', 'MA704', 'PM707', 'MA705', 'MA702', 'PM611', 'MA708', 'TA706']"
152,2016-11-04,"['MA704', 'PM707', 'MA703', 'PM611', 'MA708', 'RI703', 'MA706', 'MA707', 'ZC612', 'JR701']"
153,2016-11-07,"['MA704', 'RI703', 'JR701', 'ZC612', 'JR611', 'JR703', 'JR705', 'ZC701', 'FG611', 'ZC702']"
154,2016-11-08,"['MA708', 'FG611', 'ZC612', 'FG705', 'ZC701', 'ZC702', 'FG701', 'FG703', 'FG706', 'FG704']"
155,2016-11-09,"['MA708', 'SR801', 'RM611', 'JR611', 'JR701', 'JR703', 'JR705', 'FG611', 'FG705', 'RM703']"
156,2016-11-10,"['MA708', 'MA704', 'MA705', 'SR801', 'MA707', 'MA706', 'RM611', 'WH707', 'FG611', 'CF707']"
157,2016-11-11,"['SM709', 'CF707', 'CF705', 'RI709', 'MA708', 'CF709', 'CF701', 'MA704', 'MA709', 'MA707']"
158,2016-11-14,"['SM709', 'CF707', 'CF705', 'SF707', 'SF708', 'CF709', 'CF701', 'CF703', 'CF611', 'MA708']"
159,2016-11-15,"['SM709', 'CF707', 'CF705', 'CF709', 'CF701', 'CF703', 'MA708', 'MA709', 'MA707', 'MA706']"
160,2016-11-16,"['SM709', 'LR703', 'LR701', 'LR705', 'LR707', 'LR709', 'FG706', 'FG708', 'FG612', 'WH701']"
161,2016-11-17,"['CF705', 'CF709', 'CF703', 'CF701', 'LR703', 'LR701', 'LR705', 'LR707', 'LR709', 'RS707']"
162,2016-11-18,"['CF707', 'CF705', 'CF709', 'CF703', 'CF701', 'LR703', 'LR701', 'RS707', 'WH705', 'RS709']"
163,2016-11-21,"['CF707', 'CF705', 'CF709', 'CF703', 'CF701', 'WH707', 'RS707', 'SF703', 'FG612', 'WH705']"
164,2016-11-22,"['CF707', 'CF705', 'CF709', 'CF703', 'CF701', 'RS707', 'WH707', 'WH701', 'WH703', 'WH705']"
165,2016-11-23,"['CF707', 'CF709', 'CF705', 'CF703', 'CF701', 'SM708', 'SF704', 'RS707', 'SF703', 'FG704']"
166,2016-11-24,"['CF707', 'CF709', 'CF705', 'CF703', 'SF704', 'RS707', 'SF703', 'WH707', 'FG704', 'FG709']"
167,2016-11-25,"['CF707', 'CF709', 'CF705', 'CF703', 'CF701', 'RS707', 'SF704', 'SF703', 'WH707', 'SM612']"
168,2016-11-28,"['RS707', 'SF704', 'SF703', 'SM612', 'FG706', 'FG708', 'FG702', 'WH705', 'TA706', 'SF701']"
169,2016-11-29,"['SM707', 'SM706', 'RS707', 'SM705', 'SM612', 'FG706', 'OI705', 'FG708', 'FG702', 'WH705']"
170,2016-11-30,"['CF709', 'CF707', 'CF705', 'CF703', 'CF701', 'RS707', 'SM706', 'SM707', 'SM705', 'OI705']"
171,2016-12-01,"['SM706', 'SM707', 'RS707', 'SM705', 'OI705', 'OI703', 'OI701', 'OI707', 'OI709', 'SR803']"
172,2016-12-02,"['CF709', 'SM708', 'SM707', 'SM706', 'RS707', 'SM705', 'SM612', 'OI705', 'OI703', 'OI701']"
173,2016-12-05,"['OI705', 'OI703', 'OI701', 'OI707', 'OI709', 'RS709', 'MA612', 'TA705', 'RS708', 'TA704']"
174,2016-12-06,"['SM612', 'RS707', 'SM709', 'OI705', 'OI703', 'OI701', 'OI707', 'OI709', 'RS708', 'RS709']"
175,2016-12-07,"['SM612', 'RS707', 'OI705', 'SM709', 'OI703', 'OI701', 'OI707', 'OI709', 'MA612', 'RS709']"
176,2016-12-08,"['SM612', 'OI705', 'OI703', 'OI701', 'RS707', 'OI709', 'MA612', 'SR703', 'SR707', 'SR701']"
177,2016-12-09,"['SM612', 'OI703', 'RS707', 'MA612', 'SR803', 'SR703', 'SR707', 'SR705', 'SR701', 'SR709']"
178,2016-12-12,"['SM612', 'MA612', 'SR803', 'RS709', 'SR801', 'MA706', 'MA710', 'MA704', 'MA709', 'MA705']"
179,2016-12-13,"['SM612', 'MA612', 'RS709', 'SR803', 'SR701', 'SR705', 'SR709', 'MA706', 'MA704', 'MA710']"
180,2016-12-14,"['OI703', 'MA612', 'RS709', 'MA706', 'MA705', 'MA704', 'MA710', 'MA709', 'TA707', 'TA705']"
181,2016-12-15,"['OI703', 'OI705', 'OI701', 'OI709', 'RS709', 'MA706', 'MA704', 'MA705', 'MA701', 'MA709']"
182,2016-12-16,"['OI703', 'OI707', 'RS709', 'MA704', 'MA701', 'MA706', 'MA705', 'MA703', 'MA709', 'MA710']"
183,2016-12-19,"['RS709', 'MA701', 'MA704', 'MA706', 'MA705', 'MA703', 'MA707', 'MA709', 'MA710', 'MA708']"
184,2016-12-20,"['RS709', 'MA701', 'MA703', 'MA707', 'MA708', 'TA705', 'MA702', 'TA708', 'TA709', 'TA704']"
185,2016-12-21,"['RS709', 'LR703', 'LR705', 'LR707', 'LR709', 'WH703', 'WH701', 'ZC702', 'ZC701', 'ZC708']"
186,2016-12-22,"['WH709', 'ZC708', 'PM705']"
187,2016-12-23,"['ZC702', 'PM705', 'RI707']"
188,2016-12-26,"['MA701', 'JR707', 'JR709', 'JR703', 'JR701', 'PM705', 'ZC702', 'RI707']"
189,2016-12-27,"['MA701', 'MA702', 'JR707', 'JR709', 'JR703', 'JR701', 'WH701', 'WH703', 'PM705', 'ZC701']"
190,2016-12-28,"['MA702', 'JR707', 'JR709', 'JR703', 'JR701', 'WH701', 'WH703', 'PM705', 'ZC701', 'RI707']"
191,2016-12-29,"['WH701', 'WH703', 'PM705', 'RM701', 'WH705', 'WH709', 'ZC701', 'RI707', 'PM707', 'PM709']"
192,2016-12-30,"['WH701', 'WH703', 'PM705', 'WH705', 'WH709', 'ZC701', 'PM709', 'PM707', 'WH707', 'RI709']"
193,2017-01-03,"['WH701', 'WH703', 'RM701', 'WH705', 'ZC701', 'RI709', 'WH707', 'SF704', 'SF703']"
194,2017-01-04,"['WH701', 'WH703', 'PM711', 'PM701', 'PM709', 'PM707', 'ZC701', 'RI707', 'RI709', 'RI701']"
195,2017-01-05,"['PM701', 'PM711', 'PM709', 'PM707', 'RI707', 'RI709', 'RI701', 'RI705', 'RI703']"
196,2017-01-06,"['PM701', 'RI707', 'RI701', 'RI705', 'RI703']"
197,2017-01-09,"['WH701', 'WH703', 'RI707', 'RI709', 'RI701', 'RI705', 'RI703', 'SR703', 'SR801', 'SR705']"
198,2017-01-10,"['WH701', 'WH703', 'RI703', 'SR703', 'SR705', 'SR801', 'SR707', 'SR805', 'SR803', 'SR709']"
199,2017-01-11,"['SR801', 'SR803', 'SR711', 'CF711', 'CF701', 'CF707', 'CF709', 'CF705', 'CF703']"
200,2017-01-12,"['RI709', 'RI703', 'RM708', 'RM707', 'RM709', 'RM703', 'RM705', 'SR703', 'SR705', 'SR707']"
201,2017-01-13,"['RI709', 'ZC706', 'RM708', 'SR703', 'RM707', 'RM711', 'RM709', 'RM703', 'RM705', 'SR705']"
202,2017-01-16,"['WH701', 'RI701', 'RI707', 'RI705', 'RI709', 'SR703', 'ZC706', 'ZC707', 'ZC705', 'ZC708']"
203,2017-01-17,"['ZC702', 'RI709', 'TA706', 'ZC707', 'ZC705', 'ZC708', 'ZC709', 'RM708', 'SR705', 'SR709']"
204,2017-01-18,"['ZC702', 'RI709', 'RM708', 'TA707', 'RM707', 'FG702', 'RM709', 'RM705', 'RM703', 'RM711']"
205,2017-01-19,"['SR709', 'SR705', 'SR707', 'ZC702', 'SR801', 'SR805', 'RM708', 'SR803', 'RI703', 'RM707']"
206,2017-01-20,"['CF709', 'CF707', 'SR703', 'CF705', 'SR709', 'SR705', 'CF703', 'SR707', 'SR801', 'RM708']"
